Instance ID,Lambda,numSKU,numBinsPerLocation,numReplicate,Solver,Solve status,Objective,BestBound,Gap,NumOfNodes,SolveTime,TimeBestSol,TimeInstance,TimeSolve,TimeTotal,NumOfIterations,ConfigTimeLimit,ConfigCores,ConfigCeilingRounding,ConfigDebugInfo,ConfigMIPFeasibility,End
Instance3XS100_4_20,4,100,20,3,SCP,Feasible,181608,61461,0.661573,105267384,3600.07,1700.387367963791,14.582634210586548,3600.1910247802734,3614.77365899086,,3600,MT,YCR,NDI,NF,Instance3XS100_4_20
Instance4XS100_4_20,4,100,20,4,VGS(MIP),FEASIBLE_SOLUTION,185294.0,164305.9133212354,0.11326911113562554,12668,3600.6719999983907,3600.2030940055847,93.48440623283386,3600.7812197208405,3694.2656259536743,9813703,3600,MT,YCR,NDI,NF,Instance4XS100_4_20
Instance4XS100_4_20,4,100,20,4,SCP,Feasible,180288,54849,0.69577,99397164,3600.07,2842.192566394806,14.213195323944092,3600.201664209366,3614.41485953331,,3600,MT,YCR,NDI,NF,Instance4XS100_4_20
Instance5XS100_4_20,4,100,20,5,VGS(MIP),FEASIBLE_SOLUTION,178136.0,162679.21133409883,0.0867695955107399,16706,3600.6719999983907,3600.2187502384186,91.62499785423279,3600.7968759536743,3692.421873807907,10524088,3600,MT,YCR,NDI,NF,Instance5XS100_4_20
Instance5XS100_4_20,4,100,20,5,SCP,Feasible,176600,52449,0.703007,102813930,3600.07,3320.233095884323,14.305972814559937,3600.186192035675,3614.492164850235,,3600,MT,YCR,NDI,NF,Instance5XS100_4_20
Instance1XS200_2_20,2,200,20,1,VGS(MIP),FEASIBLE_SOLUTION,309540.0,276706.2277745975,0.1060727926129176,5515,3600.8119999989867,2207.1250007152557,119.4844024181366,3600.90625,3720.3906524181366,5934733,3600,MT,YCR,NDI,NF,Instance1XS200_2_20
Instance1XS200_2_20,2,200,20,1,SCP,Feasible,294648,76921,0.738939,92254691,3600.05,3179.1475200653076,26.943070650100708,3600.2205159664154,3627.163586616516,,3600,MT,YCR,NDI,NF,Instance1XS200_2_20
Instance2XS200_2_20,2,200,20,2,VGS(MIP),FEASIBLE_SOLUTION,304868.0,277428.4230615807,0.09000477891552837,6068,3600.7809999994934,1977.411559343338,120.57812356948853,3600.8694682121277,3721.447591781616,5581921,3600,MT,YCR,NDI,NF,Instance2XS200_2_20
Instance2XS200_2_20,2,200,20,2,SCP,Feasible,292804,72509,0.752363,92943005,3600.1,3541.495155096054,27.26620101928711,3600.260783433914,3627.5269844532013,,3600,MT,YCR,NDI,NF,Instance2XS200_2_20
Instance3XS200_2_20,2,200,20,3,VGS(MIP),FEASIBLE_SOLUTION,273980.0,255569.84010784936,0.06719526933407778,8048,3601.1410000026226,3600.499999523163,119.81249976158142,3601.218747138977,3721.0312469005585,5870680,3600,MT,YCR,NDI,NF,Instance3XS200_2_20
Instance3XS200_2_20,2,200,20,3,SCP,Feasible,268700,67909,0.747268,95096573,3600.09,2901.612177848816,27.38251566886902,3600.244464159012,3627.626979827881,,3600,MT,YCR,NDI,NF,Instance3XS200_2_20
Instance4XS200_2_20,2,200,20,4,VGS(MIP),FEASIBLE_SOLUTION,298196.0,275160.9185254371,0.0772481236319832,13742,3600.1869999989867,3149.218730688095,120.49999928474426,3600.2812218666077,3720.781221151352,8657560,3600,MT,YCR,NDI,NF,Instance4XS200_2_20
Instance4XS200_2_20,2,200,20,4,SCP,Feasible,289232,69921,0.758253,94048800,3600.09,3251.4687237739563,27.056944370269775,3600.2655975818634,3627.322541952133,,3600,MT,YCR,NDI,NF,Instance4XS200_2_20
Instance5XS200_2_20,2,200,20,5,VGS(MIP),FEASIBLE_SOLUTION,299768.0,266603.9566559412,0.11063236684388855,5128,3600.75,1876.4705531597137,120.93423199653625,3600.845545053482,3721.7797770500183,6739763,3600,MT,YCR,NDI,NF,Instance5XS200_2_20
Instance5XS200_2_20,2,200,20,5,SCP,Feasible,280572,71741,0.744304,94644229,3600.06,3078.620500802994,27.197593688964844,3600.2455036640167,3627.4430973529816,,3600,MT,YCR,NDI,NF,Instance5XS200_2_20
Instance1XS200_3_20,3,200,20,1,VGS(MIP),FEASIBLE_SOLUTION,292228.0,236221.66136028487,0.19165288281655116,2700,3601.8119999989867,3600.7787239551544,185.39062452316284,3601.9974739551544,3787.3880984783173,4820317,3600,MT,YCR,NDI,NF,Instance1XS200_3_20
Instance1XS200_3_20,3,200,20,1,SCP,Feasible,259288,70717,0.727265,67837257,3600.11,685.5312602519989,34.478787660598755,3600.331163406372,3634.809951066971,,3600,MT,YCR,NDI,NF,Instance1XS200_3_20
Instance2XS200_3_20,3,200,20,2,VGS(MIP),FEASIBLE_SOLUTION,302084.0,237469.2818922586,0.21389652582639726,1672,3601.5940000005066,3600.5239300727844,182.48440265655518,3601.773894548416,3784.2582972049713,4529819,3600,MT,YCR,NDI,NF,Instance2XS200_3_20
Instance2XS200_3_20,3,200,20,2,SCP,Feasible,266352,74545,0.720126,72405588,3600.13,1064.9844295978546,34.49438428878784,3600.340197324753,3634.8345816135406,,3600,MT,YCR,NDI,NF,Instance2XS200_3_20
Instance3XS200_3_20,3,200,20,3,VGS(MIP),FEASIBLE_SOLUTION,283510.0,229764.24464209215,0.1895726971108879,2977,3601.875,3600.8811411857605,184.1719024181366,3602.0530154705048,3786.2249178886414,9808329,3600,MT,YCR,NDI,NF,Instance3XS200_3_20
Instance3XS200_3_20,3,200,20,3,SCP,Feasible,255688,70937,0.722564,74378187,3600.11,1529.349953174591,34.78731179237366,3600.3191256523132,3635.106437444687,,3600,MT,YCR,NDI,NF,Instance3XS200_3_20
Instance4XS200_3_20,3,200,20,4,VGS(MIP),FEASIBLE_SOLUTION,312464.0,246084.65665069007,0.21243837161820212,2132,3601.547000002116,3600.4538400173187,182.453120470047,3601.7351202964783,3784.1882407665253,4547430,3600,MT,YCR,NDI,NF,Instance4XS200_3_20
Instance4XS200_3_20,3,200,20,4,SCP,Feasible,277672,82301,0.703604,71746082,3600.11,2169.1649627685547,34.882577419281006,3600.3308186531067,3635.2133960723877,,3600,MT,YCR,NDI,NF,Instance4XS200_3_20
Instance5XS200_3_20,3,200,20,5,VGS(MIP),FEASIBLE_SOLUTION,295472.0,230485.03850032756,0.21994287614282373,1357,3601.5619999989867,2343.187475204468,182.65625143051147,3601.765629053116,3784.4218804836273,5023719,3600,MT,YCR,NDI,NF,Instance5XS200_3_20
Instance5XS200_3_20,3,200,20,5,SCP,Feasible,256044,76929,0.699548,70354106,3600.11,715.906222820282,34.32207274436951,3600.3334906101227,3634.655563354492,,3600,MT,YCR,NDI,NF,Instance5XS200_3_20
Instance1XS200_4_20,4,200,20,1,VGS(MIP),FEASIBLE_SOLUTION,291160.0,216236.76236793664,0.2573266850943238,655,3601.827999997884,3284.609345436096,227.84331512451172,3602.0624902248383,3829.90580534935,4180227,3600,MT,YCR,NDI,NF,Instance1XS200_4_20
Instance1XS200_4_20,4,200,20,1,SCP,Feasible,251096,69937,0.721473,68186057,3600.19,866.359375,39.49444794654846,3600.426396369934,3639.9208443164825,,3600,MT,YCR,NDI,NF,Instance1XS200_4_20
Instance2XS200_4_20,4,200,20,2,VGS(MIP),FEASIBLE_SOLUTION,301839.0,221245.9081947427,0.26700688713273396,733,3602.202999997884,3601.027903318405,225.57812428474426,3602.418529510498,3827.9966537952423,4243280,3600,MT,YCR,NDI,NF,Instance2XS200_4_20
Instance2XS200_4_20,4,200,20,2,SCP,Feasible,257892,70333,0.727277,65933240,3600.13,2506.923972129822,39.041319847106934,3600.351773262024,3639.393093109131,,3600,MT,YCR,NDI,NF,Instance2XS200_4_20
Instance3XS200_4_20,4,200,20,3,VGS(MIP),FEASIBLE_SOLUTION,301239.0,218575.90598509996,0.27441033204498755,728,3602.0940000005066,2164.5804862976074,226.60937428474426,3602.283593893051,3828.8929681777954,4425353,3600,MT,YCR,NDI,NF,Instance3XS200_4_20
Instance3XS200_4_20,4,200,20,3,SCP,Feasible,249872,69125,0.723358,67360459,3600.12,1303.4977066516876,39.441073179244995,3600.3344860076904,3639.7755591869354,,3600,MT,YCR,NDI,NF,Instance3XS200_4_20
Instance4XS200_4_20,4,200,20,4,VGS(MIP),FEASIBLE_SOLUTION,283724.0,227901.24086576677,0.19675021899533776,949,3603.0789999999106,3602.0211379528046,232.4062476158142,3603.2711386680603,3835.6773862838745,4483263,3600,MT,YCR,NDI,NF,Instance4XS200_4_20
Instance4XS200_4_20,4,200,20,4,SCP,Feasible,257884,76529,0.703243,62324179,3600.17,1407.0624785423279,39.88506722450256,3600.4028413295746,3640.287908554077,,3600,MT,YCR,NDI,NF,Instance4XS200_4_20
Instance5XS200_4_20,4,200,20,5,VGS(MIP),FEASIBLE_SOLUTION,295574.0,224019.01758574092,0.24208821619715892,1055,3602.1719999983907,3600.745664358139,226.68752884864807,3602.4019401073456,3829.0894689559937,4913198,3600,MT,YCR,NDI,NF,Instance5XS200_4_20
Instance5XS200_4_20,4,200,20,5,SCP,Feasible,260380,72125,0.723001,62742177,3600.13,925.2187511920929,39.447585582733154,3600.357290506363,3639.804876089096,,3600,MT,YCR,NDI,NF,Instance5XS200_4_20
Instance1XS50_2_10,2,50,10,1,HYB,Feasible,182608,53949,0.704564,317354505,3600.1,3135.4989211559296,6.015624761581421,3600.373916387558,3606.3895411491394,,3600,MT,YCR,NDI,NF,Instance1XS50_2_10
Instance1XS50_2_10,2,50,10,1,VGS(CP),,,,,,,,,,,,3600,MT,YCR,NDI,NF,
Instance2XS50_2_10,2,50,10,2,HYB,Feasible,246344,70117,0.71537,298225078,3600.15,2957.15030002594,5.971764087677002,3600.500189781189,3606.471953868866,,3600,MT,YCR,NDI,NF,Instance2XS50_2_10
Instance2XS50_2_10,2,50,10,2,VGS(CP),,,,,,,,,,,,3600,MT,YCR,NDI,NF,
Instance3XS50_2_10,2,50,10,3,HYB,Feasible,187916,52109,0.722701,322182603,3600.15,3407.7968792915344,6.037789583206177,3600.48437666893,3606.5221662521362,,3600,MT,YCR,NDI,NF,Instance3XS50_2_10
Instance3XS50_2_10,2,50,10,3,VGS(CP),,,,,,,,,,,,3600,MT,YCR,NDI,NF,
Instance4XS50_2_10,2,50,10,4,HYB,Feasible,215996,64897,0.699545,298720167,3600.03,2907.0937197208405,5.943573713302612,3600.3817846775055,3606.325358390808,,3600,MT,YCR,NDI,NF,Instance4XS50_2_10
Instance4XS50_2_10,2,50,10,4,VGS(CP),,,,,,,,,,,,3600,MT,YCR,NDI,NF,
Instance5XS50_2_10,2,50,10,5,HYB,Feasible,248720,81685,0.671578,286365072,3600.03,3566.3756906986237,6.131083965301514,3600.813219308853,3606.9443032741547,,3600,MT,YCR,NDI,NF,Instance5XS50_2_10
Instance5XS50_2_10,2,50,10,5,VGS(CP),Feasible,251700,19401,0.92292,177572832,3600.84,3597.3515326976776,18.690070867538452,3612.0077826976776,3630.697853565216,,3600,MT,YCR,NDI,NF,Instance5XS50_2_10
Instance1XS50_3_10,3,50,10,1,HYB,Feasible,196780,68141,0.65372,239493521,3600.17,3435.7951288223267,6.429917335510254,3600.5295016765594,3606.9594190120697,,3600,MT,YCR,NDI,NF,Instance1XS50_3_10
Instance1XS50_3_10,3,50,10,1,VGS(CP),,,,,,,,,,,,3600,MT,YCR,NDI,NF,
Instance2XS50_3_10,3,50,10,2,HYB,Feasible,186368,68113,0.634524,222358957,3600.18,3012.993054151535,6.315067529678345,3600.5511503219604,3606.866217851639,,3600,MT,YCR,NDI,NF,Instance2XS50_3_10
Instance2XS50_3_10,3,50,10,2,VGS(CP),,,,,,,,,,,,3600,MT,YCR,NDI,NF,
Instance3XS50_3_10,3,50,10,3,HYB,Feasible,156648,46525,0.702997,260579960,3600.1,2099.2078619003296,6.299940347671509,3600.473484277725,3606.7734246253967,,3600,MT,YCR,NDI,NF,Instance3XS50_3_10
Instance3XS50_3_10,3,50,10,3,VGS(CP),,,,,,,,,,,,3600,MT,YCR,NDI,NF,
Instance4XS50_3_10,3,50,10,4,HYB,Feasible,192440,71601,0.627931,239089971,3600.17,3532.515600681305,6.4788172245025635,3600.531252861023,3607.0100700855255,,3600,MT,YCR,NDI,NF,Instance4XS50_3_10
Instance4XS50_3_10,3,50,10,4,VGS(CP),,,,,,,,,,,,3600,MT,YCR,NDI,NF,
Instance5XS50_3_10,3,50,10,5,HYB,Feasible,173148,55737,0.678096,250128669,3600.14,1879.8783423900604,6.366945266723633,3600.5345888137817,3606.9015340805054,,3600,MT,YCR,NDI,NF,Instance5XS50_3_10
Instance5XS50_3_10,3,50,10,5,VGS(CP),,,,,,,,,,,,3600,MT,YCR,NDI,NF,
Instance1XS50_4_10,4,50,10,1,HYB,Feasible,175188,59321,0.661387,208241888,3600.18,3551.79757976532,6.645180940628052,3600.5944509506226,3607.2396318912506,,3600,MT,YCR,NDI,NF,Instance1XS50_4_10
