Instance ID,Lambda,numSKU,numBinsPerLocation,numReplicate,Solver,numVariables,numConstraints,ConfigTimeLimit,ConfigCores,ConfigCeilingRounding,ConfigDebugInfo,ConfigMIPFeasibility,End
Instance2XS200_3_20,3,200,20,2,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance3XS200_3_20,3,200,20,3,HYB,,,3600,MT,YCR,NDI,NF,
Instance3XS200_3_20,3,200,20,3,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance4XS200_3_20,3,200,20,4,HYB,,,3600,MT,YCR,NDI,NF,
Instance4XS200_3_20,3,200,20,4,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance5XS200_3_20,3,200,20,5,HYB,,,3600,MT,YCR,NDI,NF,
Instance5XS200_3_20,3,200,20,5,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance1XS200_4_20,4,200,20,1,HYB,,,3600,MT,YCR,NDI,NF,
Instance1XS200_4_20,4,200,20,1,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance2XS200_4_20,4,200,20,2,HYB,,,3600,MT,YCR,NDI,NF,
Instance2XS200_4_20,4,200,20,2,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance3XS200_4_20,4,200,20,3,HYB,,,3600,MT,YCR,NDI,NF,
Instance3XS200_4_20,4,200,20,3,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance4XS200_4_20,4,200,20,4,HYB,,,3600,MT,YCR,NDI,NF,
Instance4XS200_4_20,4,200,20,4,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance5XS200_4_20,4,200,20,5,HYB,,,3600,MT,YCR,NDI,NF,
Instance5XS200_4_20,4,200,20,5,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance1XS50_2_10,2,50,10,1,VGS(MIPOrig),,,3600,MT,YCR,NDI,NF,
Instance2XS50_2_10,2,50,10,2,VGS(MIPOrig),,,3600,MT,YCR,NDI,NF,
Instance3XS50_2_10,2,50,10,3,VGS(MIPOrig),,,3600,MT,YCR,NDI,NF,
Instance4XS50_2_10,2,50,10,4,VGS(MIPOrig),,,3600,MT,YCR,NDI,NF,
Instance5XS50_2_10,2,50,10,5,VGS(MIPOrig),,,3600,MT,YCR,NDI,NF,
Instance1XS50_3_10,3,50,10,1,VGS(MIPOrig),,,3600,MT,YCR,NDI,NF,
Instance2XS50_3_10,3,50,10,2,VGS(MIPOrig),,,3600,MT,YCR,NDI,NF,
Instance3XS50_3_10,3,50,10,3,VGS(MIPOrig),,,3600,MT,YCR,NDI,NF,
